assembly_accession	organism_name	assembly_level	seq_rel_date	ftp_path
GCA_000304555.1	Mycobacterium tuberculosis UT205	Chromosome	2012-02-24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/555/GCA_000304555.1_Mt_UT205/
GCA_000313215.2	Mycobacterium tuberculosis UM 1072388579	Contig	2014-11-14	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/313/215/GCA_000313215.2_ASM31321v2/
GCA_000331445.1	Mycobacterium tuberculosis 7199-99	Complete Genome	2013-01-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/445/GCA_000331445.1_ASM33144v1/
GCA_000338715.2	Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P	Complete Genome	2013-03-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/715/GCA_000338715.2_ASM33871v2/
GCA_000350205.1	Mycobacterium tuberculosis str. Erdman = ATCC 35801	Complete Genome	2012-03-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/205/GCA_000350205.1_ASM35020v1/
GCA_000364825.1	Mycobacterium tuberculosis str. Beijing/NITR203	Complete Genome	2013-04-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/825/GCA_000364825.1_ASM36482v1/
GCA_000364945.1	Mycobacterium tuberculosis SP21	Scaffold	2013-04-15	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/945/GCA_000364945.1_Mycibacterium_tuberculosis_SP21_genome_scaffolding/
GCA_000372545.3	Mycobacterium tuberculosis PR05	Contig	2013-04-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/372/545/GCA_000372545.3_MTB_PR05_version_2/
GCA_000389905.1	Mycobacterium tuberculosis str. Haarlem/NITR202	Complete Genome	2013-05-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/905/GCA_000389905.1_ASM38990v1/
GCA_000389925.1	Mycobacterium tuberculosis CAS/NITR204	Complete Genome	2013-05-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/925/GCA_000389925.1_ASM38992v1/
GCA_000389945.1	Mycobacterium tuberculosis EAI5/NITR206	Complete Genome	2013-05-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/389/945/GCA_000389945.1_ASM38994v1/
GCA_000400615.1	Mycobacterium tuberculosis CCDC5079	Complete Genome	2013-05-20	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/400/615/GCA_000400615.1_ASM40061v1/
GCA_000411895.1	Mycobacterium tuberculosis EAI/OSDD271	Contig	2013-06-17	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/411/895/GCA_000411895.1_ASM41189v1/
GCA_000417925.1	Mycobacterium tuberculosis PanR0202	Chromosome	2013-07-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/417/925/GCA_000417925.1_fedora0202c/
GCA_000422125.1	Mycobacterium tuberculosis EAI5	Complete Genome	2013-07-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/422/125/GCA_000422125.1_ASM42212v1/
GCA_000442795.1	Mycobacterium tuberculosis PanR0704	Chromosome	2013-08-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/795/GCA_000442795.1_fedora0704i_IS/
GCA_000442945.1	Mycobacterium tuberculosis PanR0201	Chromosome	2013-08-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/945/GCA_000442945.1_fedora0201c_IS/
GCA_000442965.1	Mycobacterium tuberculosis PanR0802	Chromosome	2013-08-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/442/965/GCA_000442965.1_fedora0802c_IS/
GCA_000443005.1	Mycobacterium tuberculosis PanR1005	Chromosome	2013-08-06	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/005/GCA_000443005.1_fedora1005_IS/
GCA_000443305.1	Mycobacterium tuberculosis PanR0203	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/305/GCA_000443305.1_fedora0203c_IS/
GCA_000443325.1	Mycobacterium tuberculosis PanR0205	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/325/GCA_000443325.1_fedora0205e_IS/
GCA_000443345.1	Mycobacterium tuberculosis PanR0206	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/345/GCA_000443345.1_fedora0206b_IS/
GCA_000443365.1	Mycobacterium tuberculosis PanR0208	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/365/GCA_000443365.1_fedora0208e_IS/
GCA_000443405.1	Mycobacterium tuberculosis PanR0209	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/405/GCA_000443405.1_fedora0209_IS/
GCA_000443425.1	Mycobacterium tuberculosis PanR0207	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/425/GCA_000443425.1_fedora0207g_IS/
GCA_000443445.1	Mycobacterium tuberculosis PanR0412	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/445/GCA_000443445.1_fedora0412_IS/
GCA_000443465.1	Mycobacterium tuberculosis PanR0410	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/465/GCA_000443465.1_fedora0410_IS/
GCA_000443485.1	Mycobacterium tuberculosis PanR0411	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/485/GCA_000443485.1_fedora0411_IS/
GCA_000443505.1	Mycobacterium tuberculosis PanR0409	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/505/GCA_000443505.1_fedora0409_IS/
GCA_000443525.1	Mycobacterium tuberculosis PanR0407	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/525/GCA_000443525.1_fedora0407b_IS/
GCA_000443545.1	Mycobacterium tuberculosis PanR0405	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/545/GCA_000443545.1_fedora0405c_IS/
GCA_000443575.1	Mycobacterium tuberculosis PanR0404	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/575/GCA_000443575.1_fedora0404_IS/
GCA_000443595.1	Mycobacterium tuberculosis PanR0403	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/595/GCA_000443595.1_fedora0403_IS/
GCA_000443615.1	Mycobacterium tuberculosis PanR0402	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/615/GCA_000443615.1_fedora0402_IS/
GCA_000443635.1	Mycobacterium tuberculosis PanR0401	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/635/GCA_000443635.1_fedora0401c_IS/
GCA_000443655.1	Mycobacterium tuberculosis PanR0317	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/655/GCA_000443655.1_fedora0317b_IS/
GCA_000443675.1	Mycobacterium tuberculosis PanR0316	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/675/GCA_000443675.1_fedora0316c_IS/
GCA_000443695.1	Mycobacterium tuberculosis PanR0315	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/695/GCA_000443695.1_fedora0315_IS/
GCA_000443715.1	Mycobacterium tuberculosis PanR0314	Chromosome	2013-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/443/715/GCA_000443715.1_fedora0314e_IS/
