accession	domain	phylum	class	order	family	genus	species
GB_GCA_001315925.1	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermocladiaceae	Thermocladium	Thermocladium modestius
GB_GCA_012959435.1	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-Q1	MGIIb-Q1 sp012959435
RS_GCF_010119195.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula salina
GB_GCA_029882535.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	SOJC01	JAGLZW01	JAGLZW01 sp029882535
GB_GCA_032249575.1	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Calditenuaceae	Calditenuis	Calditenuis sp032249575
GB_GCA_944320485.1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanoprimaticola	Methanoprimaticola sp944320485
GB_GCA_963676045.1	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanogranum	Methanogranum sp963676045
RS_GCF_037081775.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	QDMS2	QDMS2	QDMS2 sp037081775
GB_GCA_005878385.1	Archaea	Thermoplasmatota	Thermoplasmata	RBG-16-68-12	RBG-16-68-12	RBG-16-68-12	RBG-16-68-12 sp005878385
GB_GCA_039000725.1	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	SpSt-28	SpSt-28	SpSt-28 sp039000725
GB_GCA_036733325.1	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanocrinis	Methanocrinis sp036733325
GB_GCA_015522635.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Acidilobaceae	Tiamatella	Tiamatella incendiivivens
GB_GCA_013415565.1	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	UBA9949	UBA9949 sp013415565
GB_GCA_004347925.1	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales	WYZ-LMO6	WYZ-LMO6	WYZ-LMO6 sp004347925
GB_GCA_030041175.1	Archaea	Thermoplasmatota	Thermoplasmata	UBA184	UBA184	JAKIWV01	JAKIWV01 sp030041175
GB_GCA_002495315.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA141	UBA141	UBA141 sp002495315
GB_GCA_014240055.1	Archaea	Thermoplasmatota	Poseidoniia	MGIII	CG-Epi1	CG-Epi1	CG-Epi1 sp014240055
GB_GCA_020346825.1	Archaea	Thermoproteota	Bathyarchaeia	Bathyarchaeales	Bathyarchaeaceae	Kmv02	Kmv02 sp020346825
RS_GCF_001412615.1	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Pyrodictiaceae	Pyrodictium	Pyrodictium delaneyi
GB_GCA_023142905.1	Archaea	EX4484-52	EX4484-52	EX4484-52	B79-G9	GLR112	GLR112 sp023142905
RS_GCF_000246985.2	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_A	Thermococcus_A litoralis
GB_GCA_025699025.1	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosarchaeum_A	Nitrosarchaeum_A sp025699025
GB_GCA_036626375.1	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	A07HB70	A07HB70 sp036626375
